combined_rank_most_to_least_expensive,combined_cost_score_1_to_10_expensive_high,combined_cost_score_method,estimated_rank_most_to_least_expensive,estimated_score_1_to_10_expensive_high,operator,ocm_operator_ids,estimated_eur_equiv_per_kwh,estimate_status,estimate_confidence,proxy_category,estimate_basis,confirmed_rank_most_to_least_expensive,confirmed_score_1_to_10,confirmed_eur_equiv_per_kwh,source_url,notes
1,10.00,70% confirmed public score + 30% proxy estimated score,1,10.0,ChargePoint,5,1.0422,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,UK public network range upper bound 14.5p–90p/kWh,1,10.0,1.0422,https://www.zapmap.com/ev-guides/public-charging-point-networks/chargepoint,Zapmap network guide; ChargePoint says station owners/roaming partners set prices.
2,9.66,70% confirmed public score + 30% proxy estimated score,2,9.8,Shell Recharge Solutions (UK),3392,1.0306,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,UK rapid/ultra-rapid upper public band,2,9.6,1.0306,https://www.shell.co.uk/electric-vehicle-charging/shell-recharge-pricing.html,Shell publishes network/pricing page; third-party summaries give detailed ranges. Used upper PAYG/contactless band for ranking.
3,9.07,70% confirmed public score + 30% proxy estimated score,5,9.0,BP Pulse (UK),32,1.0306,Confirmed public tariff/proxy from prior CSV,High,confirmed/public-price row,Guest/contactless DC150kW,3,9.1,1.0306,https://www.bppulse.com/en-gb/going-electric/how-much-does-it-cost-to-charge-an-ev,BP Pulse public pricing page/search snippet lists subscriber rates; support article lists guest/contactless rates up to 89p/kWh.
4,8.85,70% confirmed public score + 30% proxy estimated score,4,9.2,Chargemaster,8,1.0306,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,Legacy Chargemaster/BP Pulse guest/contactless high-end,4,8.7,1.0306,https://www.bppulse.com/en-gb/going-electric/how-much-does-it-cost-to-charge-an-ev,Chargemaster is legacy BP Pulse; BP Pulse pricing used as proxy.
5,8.66,70% confirmed public score + 30% proxy estimated score,3,9.5,Electric Highway (UK),24,1.0306,Confirmed public tariff/proxy from prior CSV,High,confirmed/public-price row,GRIDSERVE Electric Highway DC app range upper bound,5,8.3,1.0306,https://www.gridserve.com/electric-vehicle-charging/our-pricing/,Official GRIDSERVE Electric Highway pricing page lists DC app prices 82p–89p/kWh.
6,8.08,70% confirmed public score + 30% proxy estimated score,7,8.5,Source (GB),3797,0.9495,Confirmed public tariff/proxy from prior CSV,High,confirmed/public-price row,PAYG DC Ultra-Rapid 100–200kW,6,7.9,0.9495,https://www.source-charging.com/en/home/united-kingdom,Official Source UK page lists AC 54p/kWh and DC Ultra-Rapid 82p/kWh.
7,7.64,70% confirmed public score + 30% proxy estimated score,8,8.2,FastNed,74,0.9148,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,UK PAYG April 2026,7,7.4,0.9148,https://leccy.net/charging/public/fastned/fastned-payg,Leccy.net listing for Fastned PAYG; Fastned official page also publishes subscription discounted rates.
8,7.47,No confirmed public score; proxy estimate shrunk toward neutral using low confidence,6,8.8,PlugSurfing,3266,0.9500,Estimated proxy,Low,roaming/eMSP,Roaming/eMSP apps often price above direct CPO tariffs; placed near the expensive end but below the highest UK rapid operators.,,,,https://plugsurfing.com/,Roaming/eMSP prices vary by charge point/operator; no single public tariff found.
9,7.30,70% confirmed public score + 30% proxy estimated score,9,8.0,InstaVolt Ltd,3296,0.8500,Confirmed public tariff/proxy from prior CSV,High,confirmed/public-price row,Ireland standard price all InstaVolt chargers,8,7.0,0.85,https://instavolt.ie/faqs/,Official InstaVolt Ireland FAQ says all chargers cost €0.85/kWh.
10,6.96,70% confirmed public score + 30% proxy estimated score,10,7.8,Blink Charging (UK),3737,0.8453,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,Brighton & Hove tariff rapid chargers,9,6.6,0.8453,https://www.brighton-hove.gov.uk/travel-and-road-safety/electric-vehicle-ev-charging/cost-charging,Council tariff page for Blink lamppost/fast/rapid; may not represent every Blink UK charger.
11,6.52,70% confirmed public score + 30% proxy estimated score,11,7.5,Blink Charging,9,0.8453,Confirmed public tariff/proxy from prior CSV,Medium,confirmed/public-price row,Blink/Brighton rapid tariff used as proxy,10,6.1,0.8453,https://www.brighton-hove.gov.uk/travel-and-road-safety/electric-vehicle-ev-charging/cost-charging,Same public Blink tariff proxy as Blink Charging (UK).
